Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2021-01-28 10:42PM,2021-01-29 7:49AM,489,58,34,547,120,261,108
2021-01-28 12:23AM,2021-01-28 7:46AM,365,78,25,443,58,241,66
2021-01-26 11:12PM,2021-01-27 8:13AM,453,88,32,541,138,225,90
2021-01-25 11:01PM,2021-01-26 7:50AM,424,105,28,529,90,257,77
2021-01-24 11:25PM,2021-01-25 7:57AM,435,77,24,512,133,213,89
2021-01-23 11:25PM,2021-01-24 8:45AM,454,106,30,560,146,223,85
2021-01-23 12:00AM,2021-01-23 8:53AM,494,39,29,533,162,208,124
2021-01-21 11:14PM,2021-01-22 7:55AM,438,83,25,521,84,263,91
2021-01-20 10:55PM,2021-01-21 7:49AM,479,55,39,534,129,239,111
2021-01-18 10:52PM,2021-01-19 7:28AM,456,60,25,516,111,251,94
2021-01-17 11:42PM,2021-01-18 7:34AM,409,63,22,472,63,254,92
2021-01-17 1:30AM,2021-01-17 9:36AM,440,46,29,486,107,258,75
2021-01-15 11:55PM,2021-01-16 9:30AM,488,87,30,575,134,227,127
2021-01-14 11:38PM,2021-01-15 7:53AM,437,58,30,495,81,262,94
2021-01-13 11:38PM,2021-01-14 7:58AM,442,58,23,500,123,257,62
2021-01-12 11:51PM,2021-01-13 8:09AM,425,73,25,498,66,280,79
2021-01-12 12:03AM,2021-01-12 8:06AM,432,51,29,483,73,256,103
2021-01-11 12:00AM,2021-01-11 7:59AM,396,83,28,479,96,217,83
2021-01-09 11:59PM,2021-01-10 9:21AM,496,65,30,561,134,241,121
2021-01-09 1:23AM,2021-01-09 9:03AM,414,46,26,460,83,254,77
2021-01-07 10:42PM,2021-01-08 8:02AM,497,63,37,560,84,324,89
2021-01-07 12:47AM,2021-01-07 8:09AM,399,43,25,442,97,223,79
2021-01-05 11:21PM,2021-01-06 7:58AM,419,98,35,517,74,297,48
2021-01-04 11:48PM,2021-01-05 8:06AM,446,52,33,498,106,256,84
2021-01-04 1:08AM,2021-01-04 8:40AM,409,43,20,452,79,270,60
2021-01-02 11:19PM,2021-01-03 10:09AM,518,132,33,650,107,287,124
2021-01-01 11:32PM,2021-01-02 8:44AM,463,89,24,552,42,335,86
2021-01-01 12:41AM,2021-01-01 9:45AM,449,95,41,544,46,345,58
2020-12-31 12:12AM,2020-12-31 9:03AM,460,71,27,531,123,238,99
2020-12-30 12:12AM,2020-12-30 9:08AM,483,53,30,536,133,246,104
2020-12-29 1:31AM,2020-12-29 9:25AM,422,52,20,474,58,332,32
2020-12-26 11:58PM,2020-12-27 8:01AM,429,54,35,483,110,232,87
2020-12-26 12:52AM,2020-12-26 9:51AM,428,111,27,539,70,252,106
2020-12-25 2:43AM,2020-12-25 6:44AM,208,33,15,241,66,84,58
2020-12-23 11:45PM,2020-12-24 9:19AM,512,62,29,574,133,292,87
2020-12-23 12:01AM,2020-12-23 9:03AM,438,104,22,542,117,255,66
2020-12-21 11:07PM,2020-12-22 8:46AM,501,78,34,579,104,293,104
2020-12-21 12:09AM,2020-12-21 7:44AM,395,60,18,455,102,208,85
2020-12-20 1:30AM,2020-12-20 9:51AM,441,60,24,501,45,304,92
2020-12-19 12:54AM,2020-12-19 9:14AM,441,59,25,500,133,244,64
2020-12-16 11:18PM,2020-12-17 7:51AM,454,58,39,512,78,275,101
2020-12-16 12:00AM,2020-12-16 8:21AM,438,63,26,501,127,213,98
2020-12-14 11:47PM,2020-12-15 7:48AM,427,54,26,481,88,258,81
2020-12-12 11:45PM,2020-12-13 10:01AM,550,66,32,616,102,372,76
2020-12-12 1:24AM,2020-12-12 9:37AM,424,69,25,493,68,262,94
2020-12-10 11:25PM,2020-12-11 8:03AM,430,88,26,518,93,274,63
2020-12-10 12:26AM,2020-12-10 8:06AM,399,61,24,460,116,162,121
2020-12-08 11:19PM,2020-12-09 8:07AM,463,65,26,528,119,257,87
2020-12-07 11:07PM,2020-12-08 8:07AM,482,58,28,540,108,322,52
2020-12-07 12:58AM,2020-12-07 8:06AM,386,42,29,428,81,251,54
2020-12-06 1:07AM,2020-12-06 9:17AM,429,61,31,490,100,230,99
2020-12-04 10:45PM,2020-12-05 9:17AM,518,114,27,632,145,283,90
2020-12-02 11:24PM,2020-12-03 8:03AM,471,48,37,519,126,250,95
2020-12-02 12:24AM,2020-12-02 8:02AM,392,66,26,458,74,241,77
2020-11-30 11:21PM,2020-12-01 8:02AM,477,44,27,521,138,215,124
2020-11-29 11:19PM,2020-11-30 10:05AM,590,56,32,646,186,280,124
2020-11-28 12:13AM,2020-11-28 9:46AM,488,85,33,573,80,343,65
2020-11-26 11:35PM,2020-11-27 8:08AM,467,46,35,513,116,257,94
2020-11-25 11:04PM,2020-11-26 8:01AM,485,52,32,537,127,273,85
2020-11-24 10:59PM,2020-11-25 7:57AM,489,49,37,538,130,257,102
2020-11-23 11:20PM,2020-11-24 8:06AM,448,78,24,526,118,266,64
2020-11-22 10:54PM,2020-11-23 8:02AM,511,37,34,548,175,224,112
2020-11-22 12:29AM,2020-11-22 8:34AM,445,40,33,485,103,287,55
